#PROG: Sep 19 2016, 10:15:58
#RTC: 2016/9/19-10:15:27,
#StatsDelayMs=10000,EdiskDelayMs=1500000,NClickTimes=5,LedsThresh=[30,70,150,350,800,]
#StatsETA=4146,EdiskETA=1494146,isRec=1,clicks=0,maxCPM=0,EDISK_nextIx=301,
#  clickTimes=[5854,5854,5854,5854,5854,]
clicks,maxCPM
1474291498,7,106
1474291508,5,58
1474291518,3,61
1474291528,9,194
1474291538,3,40
1474291548,8,115
1474291558,6,61
1474291568,3,71
1474291578,0,0
1474291588,4,12
1474291598,8,168
1474291608,4,48
1474291618,5,44
1474291628,6,55
1474291638,6,73
1474291648,11,187
1474291658,4,41
1474291668,6,83
1474291678,7,82
1474291688,5,51
1474291698,4,43
1474291708,4,32
1474291718,6,52
1474291728,3,38
1474291738,6,51
1474291748,2,26
1474291758,4,26
1474291768,4,39
1474291778,7,151
1474291788,10,262
1474291798,4,56
1474291808,4,31
1474291818,6,179
1474291828,7,337
1474291838,5,78
1474291848,12,215
1474291858,5,49
1474291868,6,78
1474291878,4,47
1474291888,4,47
1474291898,7,107
1474291908,3,41
1474291918,4,34
1474291928,7,103
1474291938,5,87
1474291948,6,69
1474291958,9,85
1474291968,5,58
1474291978,5,68
1474291988,5,34
1474291998,4,50
1474292008,5,42
1474292018,7,116
1474292028,6,63
1474292038,5,40
1474292048,8,199
1474292058,5,49
1474292068,9,76
1474292078,9,269
1474292088,6,69
1474292098,7,97
1474292108,9,90
1474292118,4,70
1474292128,2,25
#Long loop: REC=1
1474292138,9,256
1474292148,6,142
1474292158,5,91
1474292168,6,86
1474292178,7,70
1474292188,3,33
1474292198,6,45
1474292208,9,129
1474292218,7,123
1474292228,9,111
1474292238,7,81
1474292248,8,91
1474292258,9,129
1474292268,4,104
1474292278,6,63
1474292288,7,196
1474292298,6,94
1474292308,5,44
1474292318,9,237
1474292328,7,300
1474292338,8,89
1474292348,6,77
1474292358,8,169
1474292368,5,42
1474292378,6,46
1474292388,3,78
1474292398,8,76
1474292408,5,77
1474292419,6,112
1474292429,6,48
1474292439,6,55
1474292449,8,92
1474292459,5,70
1474292469,10,194
1474292479,5,100
1474292489,9,93
1474292499,7,128
1474292509,6,47
1474292519,3,63
1474292529,5,42
1474292539,4,53
1474292549,7,70
1474292559,1,22
1474292569,3,21
1474292579,5,44
1474292589,2,32
1474292599,8,95
1474292609,6,66
1474292619,7,67
1474292629,2,39
1474292639,8,133
1474292649,5,48
1474292659,3,51
1474292669,11,109
1474292679,8,105
1474292689,6,97
1474292699,8,91
1474292709,7,59
1474292719,10,143
1474292729,8,102
1474292739,8,145
1474292749,3,110
1474292759,9,78
1474292769,7,80
1474292779,7,70
1474292789,4,54
1474292799,3,31
1474292809,4,32
1474292819,3,20
1474292829,6,52
1474292839,4,59
1474292849,5,42
1474292859,8,106
1474292869,6,83
1474292879,7,44
1474292889,5,115
